time,distance
1464296255.73,57.899
1464296255.75,57.882
1464296255.76,57.935
1464296255.78,58.753
1464296255.79,58.361
1464296255.81,58.843
1464296255.82,58.414
1464296255.84,58.827
1464296255.85,58.859
1464296255.87,58.843
1464296255.88,58.381
1464296255.9,58.774
1464296255.91,58.81
1464296255.93,58.414
1464296255.94,58.291
1464296255.96,57.964
1464296255.97,57.931
1464296255.99,57.109
1464296256.0,57.056
1464296256.02,56.578
1464296256.03,56.991
1464296256.05,57.024
1464296256.06,57.952
1464296256.08,57.436
1464296256.09,57.109
1464296256.11,57.964
1464296256.12,61.223
1464296256.13,57.007
1464296256.15,54.108
1464296256.16,52.906
1464296256.18,52.444
1464296256.19,52.841
1464296256.21,52.477
1464296256.22,51.381
1464296256.24,52.464
1464296256.25,52.89
1464296256.27,53.299
1464296256.28,52.481
1464296256.3,52.53
1464296256.31,52.411
1464296256.33,52.89
1464296256.34,52.89
1464296256.36,53.699
1464296256.37,54.983
1464296256.38,57.195
1464296256.4,57.604
1464296256.41,58.172
1464296256.43,58.569
1464296256.44,59.526
1464296256.65,42.843
1464296256.66,47.128
1464296256.68,145.294
1464296256.88,44.626
1464296256.89,46.372
1464296256.91,46.098
1464296256.93,46.302
1464296256.94,46.016
1464296256.96,45.517
1464296256.97,45.616
1464296256.99,45.91
1464296257.0,45.55
1464296257.01,45.346
1464296257.03,44.83
1464296257.04,45.174
1464296257.06,43.763
1464296257.07,44.16
1464296257.08,43.906
1464296257.1,44.503
1464296257.11,43.767
1464296257.13,43.542
1464296257.14,43.665
1464296257.15,43.493
1464296257.17,43.219
1464296257.18,43.08
1464296257.2,54.64
1464296257.21,52.922
1464296257.23,63.508
1464296257.43,50.044
1464296257.45,122.948
1464296257.46,41.862
1464296257.47,42.737
1464296257.67,44.728
1464296257.69,55.306
1464296257.7,55.756
1464296257.72,59.182
1464296257.73,56.782
1464296257.75,56.116
1464296257.76,57.42
1464296257.78,57.244
1464296257.98,47.59
1464296257.99,112.125
1464296258.01,57.281
1464296258.21,49.651
1464296258.22,90.81
1464296258.24,77.002
1464296258.26,89.559
1464296258.28,89.452
1464296258.29,88.581
1464296258.31,88.512
1464296258.33,89.199
1464296258.35,31.505
1464296258.36,88.921
1464296258.38,88.41
1464296258.4,88.406
1464296258.41,88.872
1464296258.43,88.34
1464296258.45,89.195
1464296258.46,87.964
1464296258.48,88.786
1464296258.5,88.271
1464296258.51,88.34
1464296258.53,88.753
1464296258.55,87.584
1464296258.56,87.588
1464296258.58,89.624
1464296258.6,89.162
1464296258.61,87.396
1464296258.63,87.874
1464296258.65,90.998
1464296258.66,88.373
1464296258.68,89.211
1464296258.7,88.324
1464296258.72,88.357
1464296258.73,87.567
1464296258.75,88.287
1464296258.77,89.232
1464296258.78,88.389
1464296258.8,88.41
1464296258.82,88.753
1464296258.83,88.684
1464296258.85,88.357
1464296258.87,87.931
1464296258.88,87.895
1464296258.9,87.498
1464296258.92,88.303
1464296258.93,88.802
1464296258.95,90.176
1464296258.97,88.545
1464296258.99,88.115
1464296259.0,88.974
1464296259.02,90.278
1464296259.04,89.506
1464296259.06,90.037
1464296259.08,111.765
1464296259.27,50.747
1464296259.29,91.117
1464296259.31,92.728
1464296259.32,89.044
1464296259.34,90.789
1464296259.36,90.434
1464296259.38,90.413
1464296259.39,90.16
1464296259.41,89.694
1464296259.43,90.053
1464296259.44,91.014
1464296259.46,91.068
1464296259.48,90.618
1464296259.5,90.295
1464296259.51,91.051
1464296259.53,90.225
1464296259.55,90.74
1464296259.56,90.724
1464296259.58,90.311
1464296259.6,91.391
1464296259.61,91.133
1464296259.63,90.777
1464296259.65,90.655
1464296259.67,90.74
1464296259.68,90.687
1464296259.7,90.708
1464296259.72,91.1
1464296259.74,90.773
1464296259.75,90.225
1464296259.77,91.084
1464296259.79,91.084
1464296259.8,90.998
1464296259.82,90.655
1464296259.84,90.671
1464296259.86,90.638
1464296259.87,91.117
1464296259.89,90.622
1464296259.91,90.74
1464296259.92,90.708
1464296259.94,90.687
1464296259.96,90.618
1464296259.98,91.562
1464296259.99,91.153
1464296260.01,91.153
1464296260.03,91.084
1464296260.05,90.671
1464296260.07,91.051
1464296260.09,91.014
1464296260.1,91.17
1464296260.12,91.288
1464296260.14,91.063
1464296260.15,90.724
1464296260.17,91.117
1464296260.19,90.209
1464296260.2,91.17
1464296260.22,95.643
1464296260.24,90.605
1464296260.26,90.691
1464296260.28,90.757
1464296260.29,91.137
1464296260.31,91.117
1464296260.33,91.035
1464296260.34,91.117
1464296260.36,90.761
1464296260.38,90.188
1464296260.4,91.48
1464296260.41,90.687
1464296260.43,92.437
1464296260.45,91.117
1464296260.47,91.121
1464296260.48,90.225
1464296260.5,91.566
1464296260.52,91.153
1464296260.54,91.068
1464296260.55,91.1
1464296260.57,125.762
1464296260.59,92.008
1464296260.61,91.133
1464296260.62,91.476
1464296260.64,91.063
1464296260.66,91.133
1464296260.68,92.163
1464296260.69,91.53
1464296260.71,91.068
1464296260.73,91.153
1464296260.75,90.704
1464296260.76,91.031
1464296260.78,90.949
1464296260.8,90.311
1464296260.82,91.513
1464296260.83,90.07
1464296260.85,91.031
1464296260.87,91.031
1464296260.89,90.724
1464296260.9,90.74
1464296260.92,91.063
1464296260.94,91.117
1464296260.95,91.068
1464296260.97,90.691
1464296260.99,90.278
